Sıra,Test,Ders,Soru,Alan,Konu,Konu ID,Güven,Not
16,Türkçe,Türkçe,16,"SES, YAZIM, NOKTALAMA VE ANLATIM BOZUKLUĞU",Noktalama İşaretleri,tyt-turkce-ses-yazim-noktalama-ve-anlatim-bozuklugu-noktalama-isaretleri,Yüksek,
17,Türkçe,Türkçe,17,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
18,Türkçe,Türkçe,18,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
19,Türkçe,Türkçe,19,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
20,Türkçe,Türkçe,20,ANLAM BİLGİSİ,Paragrafta Yapı,tyt-turkce-anlam-bilgisi-paragrafta-yapi,Yüksek,
21,Türkçe,Türkçe,21,ANLAM BİLGİSİ,Paragrafta Yapı,tyt-turkce-anlam-bilgisi-paragrafta-yapi,Yüksek,
22,Türkçe,Türkçe,22,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
23,Türkçe,Türkçe,23,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
24,Türkçe,Türkçe,24,ANLAM BİLGİSİ,Paragrafta Yapı,tyt-turkce-anlam-bilgisi-paragrafta-yapi,Yüksek,
25,Türkçe,Türkçe,25,ANLAM BİLGİSİ,Paragrafta Yapı,tyt-turkce-anlam-bilgisi-paragrafta-yapi,Yüksek,
26,Türkçe,Türkçe,26,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
27,Türkçe,Türkçe,27,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
28,Türkçe,Türkçe,28,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
29,Türkçe,Türkçe,29,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
30,Türkçe,Türkçe,30,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
31,Türkçe,Türkçe,31,ANLAM BİLGİSİ,Anlatım Biçimleri / Düşünceyi Geliştirme Yolları,tyt-turkce-anlam-bilgisi-anlatim-bicimleri-dusunceyi-gelistirme-yollari,Yüksek,
32,Türkçe,Türkçe,32,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
33,Türkçe,Türkçe,33,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
34,Türkçe,Türkçe,34,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
35,Türkçe,Türkçe,35,ANLAM BİLGİSİ,Paragrafta Yapı,tyt-turkce-anlam-bilgisi-paragrafta-yapi,Yüksek,
36,Türkçe,Türkçe,36,ANLAM BİLGİSİ,Paragrafta Anlam,tyt-turkce-anlam-bilgisi-paragrafta-anlam,Yüksek,
37,Türkçe,Türkçe,37,ANLAM BİLGİSİ,Paragrafta Çoklu Soru,tyt-turkce-anlam-bilgisi-paragrafta-coklu-soru,Yüksek,
38,Türkçe,Türkçe,38,ANLAM BİLGİSİ,Paragrafta Çoklu Soru,tyt-turkce-anlam-bilgisi-paragrafta-coklu-soru,Yüksek,
39,Türkçe,Türkçe,39,ANLAM BİLGİSİ,Paragrafta Çoklu Soru,tyt-turkce-anlam-bilgisi-paragrafta-coklu-soru,Yüksek,
40,Türkçe,Türkçe,40,ANLAM BİLGİSİ,Paragrafta Çoklu Soru,tyt-turkce-anlam-bilgisi-paragrafta-coklu-soru,Yüksek,
41,Sosyal Bilimler,Tarih,1,TARİH VE ZAMAN,Tarih ve Zaman,tyt-tarih-tarih-ve-zaman-tarih-ve-zaman,Yüksek,
42,Sosyal Bilimler,Tarih,2,ORTA ÇAĞ'DA DÜNYA VE TÜRKLER,İlk ve Orta Çağlarda Türk Dünyası,tyt-tarih-orta-cagda-dunya-ve-turkler-ilk-ve-orta-caglarda-turk-dunyasi,Yüksek,
43,Sosyal Bilimler,Tarih,3,BEYLİKTEN DEVLETE OSMANLI,Dünya Gücü Osmanlı (1453 - 1595),tyt-tarih-beylikten-devlete-osmanli-dunya-gucu-osmanli-1453-1595,Yüksek,
44,Sosyal Bilimler,Tarih,4,MİLLÎ MÜCADELE - II,Kurtuluş Savaşı,tyt-tarih-mill-mucadele-ii-kurtulus-savasi,Yüksek,
45,Sosyal Bilimler,Tarih,5,ATATÜRKÇÜLÜK VE TÜRK İNKILABI,Atatürk İlkeleri,tyt-tarih-ataturkculuk-ve-turk-inkilabi-ataturk-ilkeleri,Yüksek,
46,Sosyal Bilimler,Coğrafya,6,DOĞA VE İNSAN,"İnsan, Doğa ve Coğrafya",tyt-cografya-doga-ve-insan-insan-doga-ve-cografya,Yüksek,
47,Sosyal Bilimler,Coğrafya,7,İKLİM BİLGİSİ (ATMOSFER VE SICAKLIK),İklim - Hava Durumu - Atmosfer,tyt-cografya-iklim-bilgisi-atmosfer-ve-sicaklik-iklim-hava-durumu-atmosfer,Yüksek,
48,Sosyal Bilimler,Coğrafya,8,ÇEVRE VE TOPLUM,Doğal Afetler,tyt-cografya-cevre-ve-toplum-dogal-afetler,Yüksek,
49,Sosyal Bilimler,Coğrafya,9,HARİTA BİLGİSİ,Harita Bilgisi,tyt-cografya-harita-bilgisi-harita-bilgisi,Yüksek,
50,Sosyal Bilimler,Coğrafya,10,"NÜFUSUN GELİŞİMİ, DAĞILIŞI VE NİTELİKLERİ",Yerleşme Tipleri ve Özellikleri,tyt-cografya-nufusun-gelisimi-dagilisi-ve-nitelikleri-yerlesme-tipleri-ve-ozellikleri,Orta,Soru yerleşim alanı seçimini sorguluyor; konu taksonomisindeki en yakın başlık bu.
51,Sosyal Bilimler,Felsefe,11,FELSEFEYE GIRIŞ,Felsefeye Giriş,tyt-felsefe-felsefeye-giris-felsefeye-giris,Yüksek,
52,Sosyal Bilimler,Felsefe,12,FELSEFI DISIPLINLER,Ahlak Felsefesi,tyt-felsefe-felsefi-disiplinler-ahlak-felsefesi,Yüksek,
53,Sosyal Bilimler,Felsefe,13,FELSEFE TARIHI,15-17. Yüzyıl'da Felsefe,tyt-felsefe-felsefe-tarihi-15-17-yuzyilda-felsefe,Yüksek,
54,Sosyal Bilimler,Felsefe,14,FELSEFE TARIHI,18-19. Yüzyıl'da Felsefe,tyt-felsefe-felsefe-tarihi-18-19-yuzyilda-felsefe,Yüksek,
55,Sosyal Bilimler,Felsefe,15,FELSEFI DISIPLINLER,Bilgi Felsefesi,tyt-felsefe-felsefi-disiplinler-bilgi-felsefesi,Yüksek,
56,Sosyal Bilimler,Din Kültürü ve Ahlak Bilgisi,16,İNSAN VE İNANÇ,Bilgi ve İnanç,tyt-din-kulturu-ve-ahlak-bilgisi-insan-ve-inanc-bilgi-ve-inanc,Yüksek,
57,Sosyal Bilimler,Din Kültürü ve Ahlak Bilgisi,17,İNSAN VE İNANÇ,Bilgi ve İnanç,tyt-din-kulturu-ve-ahlak-bilgisi-insan-ve-inanc-bilgi-ve-inanc,Yüksek,
58,Sosyal Bilimler,Din Kültürü ve Ahlak Bilgisi,18,İNSAN VE İNANÇ,Bilgi ve İnanç,tyt-din-kulturu-ve-ahlak-bilgisi-insan-ve-inanc-bilgi-ve-inanc,Yüksek,
59,Sosyal Bilimler,Din Kültürü ve Ahlak Bilgisi,19,İNSAN VE İNANÇ,Bilgi ve İnanç,tyt-din-kulturu-ve-ahlak-bilgisi-insan-ve-inanc-bilgi-ve-inanc,Yüksek,
60,Sosyal Bilimler,Din Kültürü ve Ahlak Bilgisi,20,İNSAN VE İNANÇ,Bilgi ve İnanç,tyt-din-kulturu-ve-ahlak-bilgisi-insan-ve-inanc-bilgi-ve-inanc,Yüksek,
61,Sosyal Bilimler,Felsefe,21,FELSEFI DISIPLINLER,Din Felsefesi,tyt-felsefe-felsefi-disiplinler-din-felsefesi,Yüksek,
62,Sosyal Bilimler,Felsefe,22,FELSEFEYE GIRIŞ,Düşünme ve Akıl Yürütme,tyt-felsefe-felsefeye-giris-dusunme-ve-akil-yurutme,Yüksek,
63,Sosyal Bilimler,Felsefe,23,FELSEFE TARIHI,MÖ 6. Yüzyıl-MS 2. Yüzyıl'da Felsefe,tyt-felsefe-felsefe-tarihi-mo-6-yuzyil-ms-2-yuzyilda-felsefe,Yüksek,
64,Sosyal Bilimler,Felsefe,24,FELSEFEYE GIRIŞ,Felsefeye Giriş,tyt-felsefe-felsefeye-giris-felsefeye-giris,Yüksek,
65,Sosyal Bilimler,Felsefe,25,FELSEFE TARIHI,MS 2. Yüzyıl-15. Yüzyıl'da Felsefe -1,tyt-felsefe-felsefe-tarihi-ms-2-yuzyil-15-yuzyilda-felsefe,Orta,Hristiyan/Skolastik felsefe olduğu için Orta Çağ felsefesi altındaki -1 başlığına eşlendi; -1/-2 ayrımının editoryal tanımı CSV içinde ayrıca açıklanmıyor.
66,Temel Matematik,Matematik,1,DENKLEM VE EŞİTSİZLİKLER,Temel Kavramlar,tyt-matematik-denklem-ve-esitsizlikler-temel-kavramlar,Yüksek,
67,Temel Matematik,Matematik,2,DENKLEM VE EŞİTSİZLİKLER,Ardışık Sayılar,tyt-matematik-denklem-ve-esitsizlikler-ardisik-sayilar,Yüksek,
68,Temel Matematik,Matematik,3,DENKLEM VE EŞİTSİZLİKLER,Temel Kavramlar,tyt-matematik-denklem-ve-esitsizlikler-temel-kavramlar,Yüksek,
69,Temel Matematik,Matematik,4,DENKLEM VE EŞİTSİZLİKLER,Sayı Basamakları,tyt-matematik-denklem-ve-esitsizlikler-sayi-basamaklari,Yüksek,
70,Temel Matematik,Matematik,5,DENKLEM VE EŞİTSİZLİKLER,Rasyonel Sayılar,tyt-matematik-denklem-ve-esitsizlikler-rasyonel-sayilar,Yüksek,
71,Temel Matematik,Matematik,6,DENKLEM VE EŞİTSİZLİKLER,Bölme ve Bölünebilme Kuralları,tyt-matematik-denklem-ve-esitsizlikler-bolme-ve-bolunebilme-kurallari,Yüksek,
72,Temel Matematik,Matematik,7,DENKLEM VE EŞİTSİZLİKLER,Rasyonel Sayılar,tyt-matematik-denklem-ve-esitsizlikler-rasyonel-sayilar,Yüksek,
73,Temel Matematik,Matematik,8,DENKLEM VE EŞİTSİZLİKLER,Sayısal Mantık Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayisal-mantik-problemleri,Orta,Sayı doğrusu üzerinde hareket ve oran ilişkisi birlikte kullanılıyor.
74,Temel Matematik,Matematik,9,DENKLEM VE EŞİTSİZLİKLER,Mutlak Değer,tyt-matematik-denklem-ve-esitsizlikler-mutlak-deger,Yüksek,
75,Temel Matematik,Matematik,10,DENKLEM VE EŞİTSİZLİKLER,Üslü Sayılar,tyt-matematik-denklem-ve-esitsizlikler-uslu-sayilar,Yüksek,
76,Temel Matematik,Matematik,11,DENKLEM VE EŞİTSİZLİKLER,Sayısal Mantık Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayisal-mantik-problemleri,Orta,Ürünlerin fiyatlarına göre sıralanması; belirli bir klasik konu başlığına tam oturmuyor.
77,Temel Matematik,Matematik,12,DENKLEM VE EŞİTSİZLİKLER,Yüzde Problemleri,tyt-matematik-denklem-ve-esitsizlikler-yuzde-problemleri,Yüksek,
78,Temel Matematik,Matematik,13,DENKLEM VE EŞİTSİZLİKLER,Oran - Orantı,tyt-matematik-denklem-ve-esitsizlikler-oran-oranti,Yüksek,
79,Temel Matematik,Matematik,14,DENKLEM VE EŞİTSİZLİKLER,Oran - Orantı,tyt-matematik-denklem-ve-esitsizlikler-oran-oranti,Orta,Puf/damla doz dönüşümü orantı temelli.
80,Temel Matematik,Matematik,15,DENKLEM VE EŞİTSİZLİKLER,Sayısal Mantık Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayisal-mantik-problemleri,Orta,5 günlük artan sayfa koşullarıyla kısıt çözümü.
81,Temel Matematik,Matematik,16,DENKLEM VE EŞİTSİZLİKLER,Sayısal Mantık Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayisal-mantik-problemleri,Orta,Sınıf/öğrenci sayıları üzerinden çok aşamalı kurgu.
82,Temel Matematik,Matematik,17,DENKLEM VE EŞİTSİZLİKLER,Sayısal Mantık Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayisal-mantik-problemleri,Orta,Fiyat seçenekleri ve toplam maliyet üzerinden olası durum taraması.
83,Temel Matematik,Matematik,18,DENKLEM VE EŞİTSİZLİKLER,Sayı - Kesir Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayi-kesir-problemleri,Yüksek,
84,Temel Matematik,Matematik,19,DENKLEM VE EŞİTSİZLİKLER,Yaş Problemleri,tyt-matematik-denklem-ve-esitsizlikler-yas-problemleri,Yüksek,
85,Temel Matematik,Matematik,20,DENKLEM VE EŞİTSİZLİKLER,İşçi Problemleri,tyt-matematik-denklem-ve-esitsizlikler-isci-problemleri,Yüksek,
86,Temel Matematik,Matematik,21,DENKLEM VE EŞİTSİZLİKLER,Yüzde Problemleri,tyt-matematik-denklem-ve-esitsizlikler-yuzde-problemleri,Yüksek,
87,Temel Matematik,Matematik,22,DENKLEM VE EŞİTSİZLİKLER,Sayı - Kesir Problemleri,tyt-matematik-denklem-ve-esitsizlikler-sayi-kesir-problemleri,Orta,Uzunlukların başlangıç/gerilmiş oranı üzerinden yüzde değişim.
88,Temel Matematik,Matematik,23,DENKLEM VE EŞİTSİZLİKLER,Yüzde Problemleri,tyt-matematik-denklem-ve-esitsizlikler-yuzde-problemleri,Yüksek,
89,Temel Matematik,Matematik,24,DENKLEM VE EŞİTSİZLİKLER,Hız - Hareket Problemleri,tyt-matematik-denklem-ve-esitsizlikler-hiz-hareket-problemleri,Yüksek,
90,Temel Matematik,Matematik,25,DENKLEM VE EŞİTSİZLİKLER,Birinci Dereceden Denklemler,tyt-matematik-denklem-ve-esitsizlikler-birinci-dereceden-denklemler,Orta,Manzara/portre ve teknik türleri arasındaki doğrusal denklem sistemi.
91,Temel Matematik,Matematik,26,MANTIK,Mantık,tyt-matematik-mantik-mantik,Yüksek,
92,Temel Matematik,Matematik,27,FONKSİYONLAR,Fonksiyonlar,tyt-matematik-fonksiyonlar-fonksiyonlar,Yüksek,
93,Temel Matematik,Matematik,28,FONKSİYONLAR,Fonksiyonlar,tyt-matematik-fonksiyonlar-fonksiyonlar,Yüksek,
94,Temel Matematik,Matematik,29,VERİ - SAYMA - OLASILIK,"Sayma, Permütasyon",tyt-matematik-veri-sayma-olasilik-sayma-permutasyon,Yüksek,
95,Temel Matematik,Matematik,30,VERİ - SAYMA - OLASILIK,Olasılık,tyt-matematik-veri-sayma-olasilik-olasilik,Yüksek,
96,Temel Matematik,Matematik,31,GEOMETRİ-ÜÇGENLER,Üçgende Açıortay,tyt-matematik-ucgenler-ucgende-aciortay,Yüksek,
97,Temel Matematik,Matematik,32,GEOMETRİ-DÖRTGENLER VE ÇOKGENLER,Çokgenler,tyt-matematik-dortgenler-ve-cokgenler-cokgenler,Yüksek,
98,Temel Matematik,Matematik,33,GEOMETRİ-ÜÇGENLER,Üçgende Açı,tyt-matematik-ucgenler-ucgende-aci,Orta,"Üçgen eşliği ve açı ilişkisi soruluyor; taksonomide ayrı bir ""üçgende eşlik"" başlığı yok."
99,Temel Matematik,Matematik,34,GEOMETRİ-KATI CİSİMLER,Katı Cisimler,tyt-matematik-kati-cisimler-kati-cisimler,Yüksek,
100,Temel Matematik,Matematik,35,GEOMETRİ-ÜÇGENLER,Düzlemde Açı,tyt-matematik-ucgenler-duzlemde-aci,Yüksek,
101,Temel Matematik,Matematik,36,GEOMETRİ-ÜÇGENLER,Düzlemde Açı,tyt-matematik-ucgenler-duzlemde-aci,Yüksek,
102,Temel Matematik,Matematik,37,GEOMETRİ-DÖRTGENLER VE ÇOKGENLER,Dörtgenler,tyt-matematik-dortgenler-ve-cokgenler-dortgenler,Yüksek,
103,Temel Matematik,Matematik,38,GEOMETRİ-ÜÇGENLER,Üçgende Alan,tyt-matematik-ucgenler-ucgende-alan,Yüksek,
104,Temel Matematik,Matematik,39,GEOMETRİ-KATI CİSİMLER,Katı Cisimler,tyt-matematik-kati-cisimler-kati-cisimler,Yüksek,
105,Temel Matematik,Matematik,40,GEOMETRİ-DÖRTGENLER VE ÇOKGENLER,Yamuk,tyt-matematik-dortgenler-ve-cokgenler-yamuk,Yüksek,
106,Fen Bilimleri,Fizik,1,FİZİK BİLİMİNE GİRİŞ,Fizik Biliminin Tanımı ve Diğer Disiplinlerle İlişkisi,tyt-fizik-fizik-bilimine-giris-fizik-biliminin-tanimi-ve-diger-disiplinlerle-iliskisi,Yüksek,
107,Fen Bilimleri,Fizik,2,ISI - SICAKLIK VE GENLEŞME,Genleşme,tyt-fizik-isi-sicaklik-ve-genlesme-genlesme,Yüksek,
108,Fen Bilimleri,Fizik,3,ELEKTRİK VE MANYETİZMA,Elektrostatik,tyt-fizik-elektrik-ve-manyetizma-elektrostatik,Orta,Elektrik yükleri arasındaki etkileşim ile hareket birlikte sorgulanıyor; temel fiziksel konu elektrostatik.
109,Fen Bilimleri,Fizik,4,BASINÇ,Sıvı Basıncı,tyt-fizik-basinc-sivi-basinci,Yüksek,
110,Fen Bilimleri,Fizik,5,KALDIRMA KUVVETİ,Sıvıların Kaldırma Kuvveti,tyt-fizik-kaldirma-kuvveti-sivilarin-kaldirma-kuvveti,Yüksek,
111,Fen Bilimleri,Fizik,6,ELEKTRİK VE MANYETİZMA,Direnç ve Dirençlerin Bağlanması,tyt-fizik-elektrik-ve-manyetizma-direnc-ve-direnclerin-baglanmasi,Yüksek,
112,Fen Bilimleri,Fizik,7,OPTİK,Renkler,tyt-fizik-optik-renkler,Yüksek,
113,Fen Bilimleri,Kimya,8,KİMYA BİLİMİ,Kimya Disiplinleri ve Kimyacıların Çalışma Alanları,tyt-kimya-kimya-bilimi-kimya-disiplinleri-ve-kimyacilarin-calisma-alanlari,Yüksek,
114,Fen Bilimleri,Kimya,9,ATOMUN YAPISI VE PERİYODİK SİSTEM,Periyodik Sistem ve Elektron Dizilimleri,tyt-kimya-atomun-yapisi-ve-periyodik-sistem-periyodik-sistem-ve-elektron-dizilimleri,Yüksek,
115,Fen Bilimleri,Kimya,10,KİMYASAL TÜRLER ARASI ETKİLEŞİMLER,Metalik Bağ,tyt-kimya-kimyasal-turler-arasi-etkilesimler-metalik-bag,Yüksek,
116,Fen Bilimleri,Kimya,11,MADDENİN HALLERİ,Sıvılar ve Özellikleri,tyt-kimya-maddenin-halleri-sivilar-ve-ozellikleri,Yüksek,
117,Fen Bilimleri,Kimya,12,KİMYASAL HESAPLAMALAR,Mol Kavramı,tyt-kimya-kimyasal-hesaplamalar-mol-kavrami,Yüksek,
118,Fen Bilimleri,Kimya,13,KARIŞIMLAR,Çözünürlük Farkıyla Ayırma,tyt-kimya-karisimlar-cozunurluk-farkiyla-ayirma,Orta,"Uygulanan özütleme yöntemi, karışım bileşenlerinin çözünürlük farkına dayanıyor."
119,Fen Bilimleri,Kimya,14,DOĞA VE KİMYA,Çevre Kimyası,tyt-kimya-doga-ve-kimya-cevre-kimyasi,Yüksek,
120,Fen Bilimleri,Biyoloji,15,YAŞAM BİLİMİ BİYOLOJİ,Organik Bileşikler,tyt-biyoloji-yasam-bilimi-biyoloji-organik-bilesikler,Orta,Proteinlerin yapı/farklılığı soruluyor; taksonomide proteinler organik bileşikler altında.
121,Fen Bilimleri,Biyoloji,16,HÜCRE,Sitoplazma ve Organeller,tyt-biyoloji-hucre-sitoplazma-ve-organeller,Yüksek,
122,Fen Bilimleri,Biyoloji,17,EKOSİSTEM EKOLOJİSİ VE GÜNCEL ÇEVRE SORUNLARI,Madde Döngüleri ve Hayatın Sürdürülebilirliği,tyt-biyoloji-ekosistem-ekolojisi-ve-guncel-cevre-sorunlari-madde-donguleri-ve-hayatin-surdurulebilirligi,Yüksek,
123,Fen Bilimleri,Biyoloji,18,CANLILAR DÜNYASI,Canlı Âlemleri ve Özellikleri,tyt-biyoloji-canlilar-dunyasi-canli-lemleri-ve-ozellikleri,Yüksek,
124,Fen Bilimleri,Biyoloji,19,KALITIMIN VE BİYOLOJİK ÇEŞİTLİLİK,Eşeye Bağlı Kalıtım,tyt-biyoloji-kalitimin-ve-biyolojik-cesitlilik-eseye-bagli-kalitim,Yüksek,
125,Fen Bilimleri,Biyoloji,20,HÜCRE,Hücre Zarı,tyt-biyoloji-hucre-hucre-zari,Yüksek,
